id,value
Collection.Distributors.SoulCity,618
Collection.Records.OverAndOver,620
Collection.Artists.Torill,622
Collection.Distributors.AVIRecords,624
Collection.Records.GreatestHits,626
Collection.Artists.JimiHendrix,628
Collection.Records.Record56,630
Collection.Distributors.Greensleeves,632
Collection.Records.HereAmI,634
Collection.Artists.DaveCrawford,636
Collection.Distributors.DavidCrawford,638
Collection.Records.Osmium,640
Collection.Distributors.Invictus,642
Collection.Records.Record59,644
Collection.Musical-Groups.DirectCurrent,646
Collection.Distributors.TECRecords,648
Collection.Records.Record60,650
Collection.Distributors.CapitolRecords,652
Collection.Records.Record61,654
Collection.Distributors.Sugarscoop,656
Collection.Records.Record62,658
Collection.Distributors.SweetMountainRecords,660
Collection.Records.DoctorJackyllAndMisterFunk,662
Collection.Artists.JackieMcLean,664
Collection.Distributors.RCA,666
Collection.Records.Record64,668
Collection.Distributors.AAndM,670
Collection.Records.MagicTrick,672
Collection.Artists.OhioPlayers,674
Collection.Distributors.Mercury,676
Collection.Records.JumpOnIt,678
Collection.Records.HeartBeatOfTheCongo,680
Collection.Artists.OnagoandMuanaAndTheNativeDrummers,682
Collection.Distributors.TwentiethFox,684
Collection.Records.GiveYourBodyUpToTheMusic,686
Collection.Artists.BillyNichols,688
Collection.Distributors.WestEnd,690
Collection.Records.Cruisin,692
Collection.Artists.MichaelNesmith,694
Collection.Distributors.PacificArts,696
Collection.Records.FunkBeTheFlavour,698
Collection.Artists.Nookie,700
Collection.Distributors.UrbanCulture,702
Collection.Records.BabyNotTonight,704
Collection.Artists.Madagascar,706
Collection.Distributors.Arista,708
Collection.Records.WeThePeople,710
Collection.Artists.SoulSearchers,712
Collection.Distributors.Sussex,714
Collection.Records.Drumdrops,716
Collection.Artists.JoeyVieira,718
Collection.Distributors.MusicTreeCorp,720
Collection.Records.TSOP,722
Collection.Artists.MFSB,724
Collection.Distributors.PhiladelphiaInternationalRecords,726
Collection.Records.SomethingNew,728
Collection.Artists.FearlessFour,730
Collection.Musical-Groups.FearlessFour,732
Collection.Distributors.Elektra,734
Collection.Records.LivingOrnaments,736
Collection.Distributors.BeggarsBanquet,738
Collection.Records.KeepOnDancing,740
Collection.Artists.NashvilleRhythmSection,742
Collection.Musical-Groups.NashvilleRhythmSection,744
Collection.Distributors.KoalaSilverBear,746
Collection.Records.WarmHeartColdSteel,748
Collection.Artists.TwentiethCenturySteelBand,750
Collection.Musical-Groups.TwentiethCenturySteelBand,752
Collection.Distributors.UnitedArtistsRecords,754
Collection.Records.InSearchOfOrchestra,756
Collection.Artists.InSearchOf,758
Collection.Records.LoveYouLive,760
Collection.Artists.TheRollingStones,762
Collection.Musical-Groups.RollingStones,764
Collection.Distributors.RollingStones,766
Collection.Records.NoNoNo,768
Collection.Artists.YookoOno,770
Collection.Distributors.GeffenRecords,772
Collection.Artists.ThePolice,774
Collection.Records.ItFeelsSoGood,776
Collection.Artists.WeltonIrie,778
Collection.Distributors.JoeGibbsMusic,780
Collection.Records.CanYouFeelIt,782
Collection.Artists.RhythmMakers,784
Collection.Distributors.VigorRecords,786
Collection.Records.JosephineSuperstar,788
Collection.Artists.PhyliciaAllen,790
Collection.Records.DamnSamTheMiracleMan,792
Collection.Artists.DamnSamTheMiracleMan,794
Collection.Distributors.TaySter,796
Collection.Records.Cuba,798
Collection.Musical-Groups.GibsonBrothers,800
Collection.Distributors.MangoRecords,802
Collection.Records.Record88,804
Collection.Records.Record89,806
Collection.Distributors.Hilda,808
Collection.Records.TotalExtreme,810
Collection.Artists.TheWBs,812
Collection.Distributors.RoadRageRecords,814
