Sex,Ratio,Age,Affected,Total
1,7,12,2,25
1,7,13,4,18
1,7,14,4,24
1,7,15,2,23
1,7,16,5,28
1,7,17,6,25
1,8,2,,20
1,8,3,,17
1,8,4,,17
1,8,5,,17
1,8,6,1,23
1,8,7,1,12
1,8,8,1,20
1,8,9,1,12
1,8,10,4,21
1,8,11,2,12
1,8,12,,15
1,8,13,2,17
1,8,14,3,23
1,8,15,2,21
1,8,16,2,19
1,8,17,1,26
1,9,2,,5
1,9,3,,13
1,9,4,,9
1,9,5,1,13
1,9,6,2,22
1,9,7,,19
1,9,8,,10
1,9,9,1,13
1,9,10,4,19
1,9,11,1,13
1,9,12,4,17
1,9,13,3,11
1,9,14,3,16
1,9,15,5,20
1,9,16,2,20
1,9,17,6,23
1,10,2,,12
1,10,3,,9
1,10,4,,8
1,10,5,,10
1,10,6,,9
1,10,7,2,9
1,10,8,1,5
1,10,9,4,19
1,10,10,1,11
1,10,11,3,8
1,10,12,3,12
1,10,13,,11
1,10,14,2,10
1,10,15,4,19
1,10,16,1,9
1,10,17,3,19
1,11,2,,51
1,11,3,,43
1,11,4,,48
1,11,5,1,48
1,11,6,1,51
1,11,7,6,43
1,11,8,7,40
1,11,9,3,41
1,11,10,2,47
1,11,11,6,55
1,11,12,8,60
1,11,13,12,73
1,11,14,8,65
1,11,15,9,76
1,11,16,11,67
1,11,17,15,80
2,1,2,,11
2,1,3,,25
2,1,4,,23
2,1,5,1,24
2,1,6,1,18
2,1,7,,23
2,1,8,1,23
2,1,9,1,22
2,1,10,2,19
2,1,11,,16
2,1,12,1,22
2,1,13,1,14
2,1,14,2,24
2,1,15,1,17
2,1,16,1,24
2,1,17,3,20
2,2,2,,47
2,2,3,,34
2,2,4,,50
2,2,5,1,41
2,2,6,2,38
2,2,7,4,46
2,2,8,,45
2,2,9,3,44
2,2,10,6,48
2,2,11,4,35
2,2,12,9,42
2,2,13,4,47
2,2,14,1,35
2,2,15,7,53
2,2,16,5,43
2,2,17,2,27
2,3,2,1,47
2,3,3,,34
2,3,4,2,38
2,3,5,1,49
2,3,6,4,48
2,3,7,,38
2,3,8,4,44
2,3,9,2,22
2,3,10,2,43
2,3,11,5,34
2,3,12,4,54
2,3,13,4,46
2,3,14,3,38
2,3,15,3,49
2,3,16,3,44
2,3,17,2,33
2,4,2,,29
2,4,3,,27
2,4,4,,30
2,4,5,,29
2,4,6,,34
2,4,7,2,38
2,4,8,1,23
2,4,9,3,39
2,4,10,2,28
2,4,11,1,27
2,4,12,1,30
2,4,13,2,37
2,4,14,4,31
2,4,15,2,30
2,4,16,3,31
2,4,17,3,34
2,5,2,,30
2,5,3,1,35
2,5,4,,19
2,5,5,1,33
2,5,6,,25
2,5,7,,21
2,5,8,1,23
2,5,9,3,19
2,5,10,4,30
2,5,11,3,29
2,5,12,1,23
2,5,13,1,12
2,5,14,1,27
2,5,15,2,35
2,5,16,2,34
2,5,17,3,27
2,6,2,,19
2,6,3,,27
2,6,4,,34
2,6,5,,27
2,6,6,,24
2,6,7,,25
2,6,8,3,14
2,6,9,,20
2,6,10,1,33
2,6,11,4,27
2,6,12,1,21
2,6,13,3,25
2,6,14,1,26
2,6,15,1,37
2,6,16,3,22
2,6,17,2,34
2,7,2,,18
2,7,3,,21
2,7,4,,25
2,7,5,,17
2,7,6,,17
2,7,7,1,18
2,7,8,1,15
2,7,9,1,17
2,7,10,1,14
2,7,11,,18
2,7,12,,20
2,7,13,2,23
2,7,14,1,32
2,7,15,2,23
2,7,16,2,19
2,7,17,3,34
2,8,2,,14
2,8,3,,16
2,8,4,,11
2,8,5,,10
2,8,6,,18
2,8,7,,16
2,8,8,,16
2,8,9,1,9
2,8,10,2,16
2,8,11,,19
2,8,12,2,33
2,8,13,2,18
2,8,14,,13
2,8,15,1,22
2,8,16,1,25
2,8,17,1,27
2,9,2,,13
2,9,3,,10
2,9,4,,16
2,9,5,1,11
2,9,6,,16
2,9,7,,11
2,9,8,1,12
2,9,9,2,16
2,9,10,,9
2,9,11,1,19
2,9,12,,16
2,9,13,,17
2,9,14,1,21
2,9,15,2,17
2,9,16,3,19
2,9,17,2,18
2,10,2,,10
2,10,3,,10
2,10,4,,9
2,10,5,,7
2,10,6,1,10
2,10,7,,4
2,10,8,,13
2,10,9,1,10
2,10,10,2,11
2,10,11,1,10
2,10,12,,10
2,10,13,1,15
2,10,14,2,8
2,10,15,1,12
2,10,16,,24
2,10,17,1,13
2,11,2,,57
2,11,3,,42
2,11,4,,47
2,11,5,1,50
2,11,6,,42
2,11,7,1,37
2,11,8,,40
2,11,9,4,54
2,11,10,2,54
2,11,11,3,47
2,11,12,7,58
2,11,13,5,61
2,11,14,4,63
2,11,15,7,58
2,11,16,2,64
2,11,17,4,54
