Sex,Ratio,Age,Affected,Total
1,6,2,,
1,6,3,2,28
1,6,4,1,28
1,6,5,,22
1,6,6,1,20
1,6,7,,24
1,6,8,2,24
1,6,9,3,23
1,6,10,3,28
1,6,11,4,32
1,6,12,2,22
1,6,13,3,24
1,6,14,3,25
1,6,15,,23
1,6,16,4,35
1,6,17,5,30
1,7,0,,
1,7,1,,
1,7,2,,
1,7,3,1,24
1,7,4,,22
1,7,5,,20
1,7,6,1,20
1,7,7,2,22
1,7,8,1,29
1,7,9,,17
1,7,10,3,19
1,7,11,1,16
1,7,12,3,25
1,7,13,2,18
1,7,14,2,24
1,7,15,,23
1,7,16,6,28
1,7,17,3,25
1,8,0,,
1,8,1,,
1,8,2,,
1,8,3,,17
1,8,4,1,17
1,8,5,,17
1,8,6,,23
1,8,7,,12
1,8,8,,20
1,8,9,,12
1,8,10,3,21
1,8,11,,12
1,8,12,2,15
1,8,13,1,17
1,8,14,2,23
1,8,15,5,21
1,8,16,1,19
1,8,17,2,26
1,9,0,,
1,9,1,,
1,9,2,,
1,9,3,,13
1,9,4,,9
1,9,5,,13
1,9,6,1,22
1,9,7,2,19
1,9,8,,10
1,9,9,1,13
1,9,10,1,19
1,9,11,,13
1,9,12,2,17
1,9,13,2,11
1,9,14,2,16
1,9,15,3,20
1,9,16,1,20
1,9,17,2,23
1,10,0,,
1,10,1,,
1,10,2,,
1,10,3,1,9
1,10,4,,8
1,10,5,,10
1,10,6,1,9
1,10,7,1,9
1,10,8,1,5
1,10,9,1,19
1,10,10,,11
1,10,11,3,8
1,10,12,3,12
1,10,13,,11
1,10,14,1,10
1,10,15,4,19
1,10,16,1,9
1,10,17,2,19
1,11,0,,
1,11,1,,
1,11,2,,
1,11,3,2,43
1,11,4,2,48
1,11,5,,48
1,11,6,,51
1,11,7,4,43
1,11,8,2,40
1,11,9,5,41
1,11,10,4,47
1,11,11,3,55
1,11,12,2,60
1,11,13,9,73
1,11,14,7,65
1,11,15,6,76
1,11,16,6,67
1,11,17,5,80
2,1,0,,
2,1,1,,
2,1,2,,
2,1,3,,25
2,1,4,,23
2,1,5,1,24
2,1,6,3,18
2,1,7,2,23
2,1,8,2,23
2,1,9,1,22
2,1,10,1,19
2,1,11,,16
2,1,12,2,22
2,1,13,3,14
2,1,14,1,24
2,1,15,2,17
2,1,16,2,24
2,1,17,3,20
2,2,0,,
2,2,1,,
2,2,2,,
2,2,3,1,34
2,2,4,2,50
2,2,5,2,41
2,2,6,6,38
2,2,7,4,46
2,2,8,2,45
2,2,9,2,44
2,2,10,3,48
2,2,11,7,35
2,2,12,8,42
2,2,13,4,47
2,2,14,3,35
2,2,15,4,53
2,2,16,1,43
2,2,17,2,27
2,3,0,,
2,3,1,,
2,3,2,,
2,3,3,3,34
2,3,4,2,38
2,3,5,1,49
2,3,6,3,48
2,3,7,2,38
2,3,8,1,44
2,3,9,2,22
2,3,10,3,43
2,3,11,5,34
2,3,12,7,54
2,3,13,5,46
2,3,14,4,38
2,3,15,2,49
2,3,16,,44
2,3,17,2,33
2,4,0,,
2,4,1,,
2,4,2,,
2,4,3,,27
2,4,4,,30
2,4,5,1,29
2,4,6,,34
2,4,7,3,38
2,4,8,,23
2,4,9,2,39
2,4,10,3,28
2,4,11,,27
2,4,12,3,30
2,4,13,3,37
2,4,14,6,31
2,4,15,3,30
2,4,16,3,31
2,4,17,3,34
2,5,0,,
2,5,1,,
2,5,2,,
2,5,3,,35
2,5,4,1,19
2,5,5,,33
2,5,6,,25
2,5,7,,21
2,5,8,1,23
2,5,9,,19
2,5,10,5,30
2,5,11,1,29
2,5,12,1,23
2,5,13,,12
2,5,14,1,27
2,5,15,3,35
2,5,16,3,34
2,5,17,2,27
2,6,0,,
2,6,1,,
2,6,2,,
2,6,3,,27
2,6,4,,34
2,6,5,,27
2,6,6,2,24
2,6,7,,25
2,6,8,,14
2,6,9,1,20
2,6,10,,33
2,6,11,1,27
2,6,12,1,21
2,6,13,1,25
2,6,14,1,26
2,6,15,1,37
2,6,16,3,22
2,6,17,1,34
2,7,0,,
2,7,1,,
2,7,2,,
2,7,3,1,21
2,7,4,,25
2,7,5,,17
2,7,6,,17
2,7,7,,18
2,7,8,1,15
2,7,9,1,17
2,7,10,1,14
2,7,11,,18
2,7,12,1,20
2,7,13,1,23
2,7,14,2,32
2,7,15,,23
2,7,16,1,19
2,7,17,3,34
2,8,0,,
2,8,1,,
2,8,2,,
2,8,3,,16
2,8,4,,11
2,8,5,,10
2,8,6,,18
2,8,7,1,16
2,8,8,1,16
2,8,9,,9
2,8,10,1,16
2,8,11,1,19
2,8,12,1,33
2,8,13,3,18
2,8,14,,13
2,8,15,,22
2,8,16,,25
2,8,17,2,27
2,9,0,,
2,9,1,,
2,9,2,,
2,9,3,,10
2,9,4,,16
2,9,5,,11
2,9,6,,16
2,9,7,1,11
2,9,8,2,12
2,9,9,2,16
2,9,10,1,9
2,9,11,,19
2,9,12,,16
2,9,13,2,17
2,9,14,1,21
2,9,15,,17
2,9,16,2,19
2,9,17,1,18
2,10,0,,
2,10,1,,
2,10,2,,
2,10,3,,10
2,10,4,,9
2,10,5,,7
2,10,6,1,10
2,10,7,,4
2,10,8,,13
2,10,9,,10
2,10,10,1,11
2,10,11,,10
2,10,12,,10
2,10,13,1,15
2,10,14,,8
2,10,15,2,12
2,10,16,,24
2,10,17,1,13
2,11,0,,
2,11,1,,
2,11,2,,
2,11,3,,42
2,11,4,,47
2,11,5,,50
2,11,6,,42
2,11,7,1,37
2,11,8,,40
2,11,9,6,54
2,11,10,1,54
2,11,11,4,47
2,11,12,1,58
2,11,13,5,61
2,11,14,4,63
2,11,15,5,58
2,11,16,2,64
2,11,17,2,54
