Sex,Ratio,Age,Affected,Total
1,7,2,0,26
1,7,3,0,24
1,7,4,0,22
1,7,5,0,20
1,7,6,0.05,20
1,7,7,0.05,22
1,7,8,0,29
1,7,9,0.06,17
1,7,10,0.05,19
1,7,11,0,16
1,7,12,0,25
1,7,13,0,18
1,7,14,0.04,24
1,7,15,0.04,23
1,7,16,0.07,28
1,7,17,0,25
1,8,2,0,20
1,8,3,0,17
1,8,4,0,17
1,8,5,0.06,17
1,8,6,0.04,23
1,8,7,0,12
1,8,8,0,20
1,8,9,0,12
1,8,10,0.19,21
1,8,11,0,12
1,8,12,0,15
1,8,13,0.06,17
1,8,14,0,23
1,8,15,0.05,21
1,8,16,0.05,19
1,8,17,0,26
1,9,2,0,5
1,9,3,0,13
1,9,4,0,9
1,9,5,0,13
1,9,6,0.05,22
1,9,7,0.11,19
1,9,8,0,10
1,9,9,0.08,13
1,9,10,0,19
1,9,11,0,13
1,9,12,0.06,17
1,9,13,0,11
1,9,14,0,16
1,9,15,0.05,20
1,9,16,0,20
1,9,17,0.04,23
1,10,2,0,12
1,10,3,0,9
1,10,4,0,8
1,10,5,0,10
1,10,6,0.11,9
1,10,7,0,9
1,10,8,0,5
1,10,9,0,19
1,10,10,0,11
1,10,11,0.13,8
1,10,12,0.17,12
1,10,13,0,11
1,10,14,0,10
1,10,15,0,19
1,10,16,0.11,9
1,10,17,0,19
1,11,2,0.02,51
1,11,3,0.02,43
1,11,4,0.04,48
1,11,5,0.02,48
1,11,6,0,51
1,11,7,0.05,43
1,11,8,0.05,40
1,11,9,0.07,41
1,11,10,0.02,47
1,11,11,0.02,55
1,11,12,0.05,60
1,11,13,0.04,73
1,11,14,0.03,65
1,11,15,0.05,76
1,11,16,0.01,67
1,11,17,0.01,80
2,1,2,,11
2,1,3,,25
2,1,4,,23
2,1,5,,24
2,1,6,,18
2,1,7,,23
2,1,8,,23
2,1,9,,22
2,1,10,,19
2,1,11,,16
2,1,12,1,22
2,1,13,,14
2,1,14,,24
2,1,15,,17
2,1,16,,24
2,1,17,1,20
2,2,2,,47
2,2,3,,34
2,2,4,,50
2,2,5,,41
2,2,6,,38
2,2,7,,46
2,2,8,,45
2,2,9,1,44
2,2,10,,48
2,2,11,,35
2,2,12,1,42
2,2,13,,47
2,2,14,,35
2,2,15,1,53
2,2,16,1,43
2,2,17,1,27
2,3,2,1,47
2,3,3,,34
2,3,4,,38
2,3,5,,49
2,3,6,,48
2,3,7,1,38
2,3,8,1,44
2,3,9,1,22
2,3,10,1,43
2,3,11,,34
2,3,12,3,54
2,3,13,,46
2,3,14,,38
2,3,15,,49
2,3,16,,44
2,3,17,1,33
2,4,2,,29
2,4,3,,27
2,4,4,,30
2,4,5,,29
2,4,6,,34
2,4,7,,38
2,4,8,1,23
2,4,9,,39
2,4,10,,28
2,4,11,,27
2,4,12,,30
2,4,13,1,37
2,4,14,,31
2,4,15,,30
2,4,16,,31
2,4,17,1,34
2,5,2,,30
2,5,3,1,35
2,5,4,,19
2,5,5,,33
2,5,6,,25
2,5,7,,21
2,5,8,,23
2,5,9,1,19
2,5,10,1,30
2,5,11,1,29
2,5,12,,23
2,5,13,1,12
2,5,14,,27
2,5,15,,35
2,5,16,,34
2,5,17,1,27
2,6,2,,19
2,6,3,1,27
2,6,4,,34
2,6,5,,27
2,6,6,,24
2,6,7,,25
2,6,8,,14
2,6,9,,20
2,6,10,1,33
2,6,11,,27
2,6,12,1,21
2,6,13,,25
2,6,14,,26
2,6,15,,37
2,6,16,1,22
2,6,17,,34
2,7,2,,18
2,7,3,1,21
2,7,4,,25
2,7,5,,17
2,7,6,,17
2,7,7,,18
2,7,8,,15
2,7,9,1,17
2,7,10,,14
2,7,11,,18
2,7,12,,20
2,7,13,,23
2,7,14,,32
2,7,15,,23
2,7,16,,19
2,7,17,,34
2,8,2,,14
2,8,3,1,16
2,8,4,,11
2,8,5,,10
2,8,6,,18
2,8,7,,16
2,8,8,,16
2,8,9,,9
2,8,10,,16
2,8,11,1,19
2,8,12,1,33
2,8,13,,18
2,8,14,,13
2,8,15,,22
2,8,16,,25
2,8,17,,27
2,9,2,,13
2,9,3,,10
2,9,4,,16
2,9,5,,11
2,9,6,,16
2,9,7,,11
2,9,8,,12
2,9,9,1,16
2,9,10,,9
2,9,11,,19
2,9,12,,16
2,9,13,,17
2,9,14,,21
2,9,15,,17
2,9,16,,19
2,9,17,,18
2,10,2,,10
2,10,3,,10
2,10,4,,9
2,10,5,,7
2,10,6,1,10
2,10,7,,4
2,10,8,,13
2,10,9,,10
2,10,10,,11
2,10,11,,10
2,10,12,,10
2,10,13,,15
2,10,14,,8
2,10,15,,12
2,10,16,,24
2,10,17,,13
2,11,2,,57
2,11,3,,42
2,11,4,,47
2,11,5,1,50
2,11,6,,42
2,11,7,,37
2,11,8,1,40
2,11,9,2,54
2,11,10,,54
2,11,11,1,47
2,11,12,1,58
2,11,13,,61
2,11,14,3,63
2,11,15,1,58
2,11,16,,64
2,11,17,,54
