journal,unit,year,count,topics
"Accounting, Organizations and Society",Cornell SC Johnson College of Business,1994,1,[Accounting]
"Accounting, Organizations and Society",Cornell SC Johnson College of Business,1997,1,[Accounting]
"Accounting, Organizations and Society",Cornell SC Johnson College of Business,1999,1,[Accounting]
"Accounting, Organizations and Society",Cornell SC Johnson College of Business,2001,1,[Accounting]
"Accounting, Organizations and Society",Cornell SC Johnson College of Business,2015,1,[Accounting]
Accounts of chemical research,College of Engineering,2003,1,[General Chemistry]
Accounts of chemical research,College of Arts and Sciences,2005,1,[General Chemistry]
Accounts of chemical research,College of Arts and Sciences,2009,1,[General Chemistry]
Accounts of chemical research,College of Agriculture and Life Sciences,2014,1,[General Chemistry]
Accounts of chemical research,College of Engineering,2015,1,[General Chemistry]
Accounts of chemical research,College of Arts and Sciences,2015,1,[General Chemistry]
Aci Materials Journal,College of Engineering,1988,1,[Building & Construction]
Aci Materials Journal,College of Engineering,1989,1,[Building & Construction]
Aci Materials Journal,College of Engineering,1991,1,[Building & Construction]
Aci Materials Journal,College of Engineering,1992,1,[Building & Construction]
Aci Materials Journal,College of Engineering,1993,1,[Building & Construction]
Aci Materials Journal,College of Engineering,1999,2,[Building & Construction]
Aci Materials Journal,College of Engineering,2006,1,[Building & Construction]
Aci Materials Journal,College of Engineering,2008,1,[Building & Construction]
Aci Materials Journal,College of Engineering,2015,1,[Building & Construction]
Aci Structural Journal,College of Engineering,2006,2,[Civil Engineering]
ACM Computers in Entertainment,College of Engineering,2004,1,[]
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,College of Engineering,2011,1,[Computer Hardware & Architecture]
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,College of Engineering,2014,1,[Computer Hardware & Architecture]
ACM SIGARCH Computer Architecture News,College of Engineering,2003,1,[]
ACM SIGMOBILE Mobile Computing and Communications Review,College of Engineering,2009,1,[]
Acm Transactions on Algorithms,College of Engineering,2008,1,[Computation Theory & Mathematics]
ACM Transactions on Architecture and Code Optimization,College of Engineering,2004,2,"[Computer Science, Hardware & Architecture]"
ACM Transactions on Architecture and Code Optimization,College of Engineering,2005,2,"[Computer Science, Hardware & Architecture]"
ACM Transactions on Architecture and Code Optimization,College of Engineering,2008,2,"[Computer Science, Hardware & Architecture]"
ACM TRANSACTIONS ON COMPUTER SYSTEMS,College of Engineering,2013,1,[Networking & Telecommunications]
ACM Transactions on Design Automation of Electronic Systems,College of Engineering,2008,1,[Design Practice & Management]
ACM Transactions on Design Automation of Electronic Systems,College of Engineering,2010,1,[Design Practice & Management]
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,College of Engineering,2014,1,[Computer Hardware & Architecture]
ACM Transactions on Information Systems (TOIS),College of Agriculture and Life Sciences,2007,1,[Information Systems]
ACM Transactions on Information Systems (TOIS),Computing and Information Science,2007,1,[Information Systems]
ACM Transactions on Intelligent Systems and Technology,College of Agriculture and Life Sciences,2011,2,"[Computer Science, Artificial Intelligence]"
ACM Transactions on Intelligent Systems and Technology,Computing and Information Science,2011,2,"[Computer Science, Artificial Intelligence]"
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,College of Engineering,2012,2,[Operations Research]
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,College of Engineering,2015,1,[Operations Research]
